Date,Transaction_Volume,Profit,Loss,Region
2024-01-01,200,5000,300,North
2024-01-02,340,6200,400,South
2024-01-03,210,4700,500,East
2024-01-04,500,9000,600,West
2024-01-05,150,3900,250,North
2024-01-06,320,7200,700,South
2024-01-07,180,4500,350,East
2024-01-08,400,8400,550,West
2024-01-09,230,5600,400,North
2024-01-10,370,7300,500,South
2024-01-11,210,4800,600,East
2024-01-12,520,9100,700,West
2024-01-13,160,4000,300,North
2024-01-14,340,7600,800,South
2024-01-15,190,4600,400,East
2024-01-16,450,8800,600,West
2024-01-17,210,5500,350,North
2024-01-18,310,6900,500,South
2024-01-19,240,5000,450,East
2024-01-20,510,9200,700,West
2024-01-21,170,4200,350,North
2024-01-22,330,7700,600,South
2024-01-23,200,4600,450,East
2024-01-24,490,8900,650,West
2024-01-25,150,3900,250,North
2024-01-26,320,7200,700,South
2024-01-27,180,4500,350,East
2024-01-28,400,8400,550,West
2024-01-29,210,5200,300,North
2024-01-30,360,7100,600,South
2024-01-31,190,4600,450,East
